unique_id,mae,rmse
33,284.5330124745931,284.5456719004723
31,273.98507385792647,274.5428678755377
40,264.18832877823894,265.3017558285663
27,189.1518980745931,189.84128616530617
3,136.62382758292642,137.08405345929253
23,75.26120728015886,75.26935658986524
14,71.89314740466992,71.90220568330221
48,53.15493293971355,54.94174166323239
45,41.16207914992513,41.33923900760592
50,39.13526171336263,39.15042608591142
22,24.507169719059238,24.541770837927594
38,12.05233694578125,12.0989649139224
35,3.279278494358723,3.455567349671049
