batch_size,data_loss_wlpr,data_loss_womr,data_loss_fw,data_loss,physics_weight,physics_loss,epoch
2.0,0.8326603770256042,0.2583651840686798,6.975576400756836,2.6888673305511475,0.0,0.0,1
2.0,0.7423620223999023,0.7564629316329956,6.406423568725586,2.635082960128784,0.0,0.0,1
2.0,0.7732892036437988,0.5138731002807617,5.79283332824707,2.3599987030029297,0.0,0.0,1
2.0,0.8278367519378662,0.2596278488636017,5.82778263092041,2.3050825595855713,0.0,0.0,1
2.0,0.8253344893455505,0.29297712445259094,5.165130138397217,2.0944807529449463,0.0,0.0,1
2.0,0.7263042330741882,0.9929190278053284,4.21497106552124,1.978064775466919,0.0,0.0,1
2.0,0.8652774095535278,0.7282558083534241,3.8658409118652344,1.819791316986084,0.0,0.0,1
2.0,0.8037787079811096,1.0816022157669067,3.1447548866271973,1.676711916923523,0.0,0.0,1
2.0,0.8756136894226074,0.6275942325592041,2.626178026199341,1.3764619827270508,0.0,0.0,1
2.0,0.7163567543029785,0.09260659664869308,2.2177574634552,1.0089069604873657,0.0,0.0,1
2.0,0.8138591647148132,0.3060375154018402,1.718294620513916,0.946063756942749,0.0,0.0,1
2.0,0.878534197807312,0.6344174146652222,1.2869399785995483,0.9332971572875977,0.0,0.0,1
2.0,0.8631652593612671,0.6763913035392761,1.127738356590271,0.8890983462333679,0.0,0.0,2
2.0,0.8876217007637024,0.26562732458114624,1.037811517715454,0.7303535342216492,0.0,0.0,2
2.0,0.8192874193191528,0.9100971817970276,1.1700279712677002,0.9664708971977234,0.0,0.0,2
2.0,0.8283429145812988,0.20562735199928284,1.0000979900360107,0.6780228018760681,0.0,0.0,2
2.0,0.8696258068084717,0.23672422766685486,1.1228216886520386,0.7430572509765625,0.0,0.0,2
2.0,0.7628418207168579,1.3298529386520386,1.3850842714309692,1.1592596769332886,0.0,0.0,2
2.0,0.7316198348999023,0.7588649988174438,0.9361572265625,0.8088806867599487,0.0,0.0,2
2.0,0.8513645529747009,0.3308185338973999,0.932671070098877,0.7049514651298523,0.0,0.0,2
2.0,0.8280187845230103,0.6229646801948547,0.7114577293395996,0.7208137512207031,0.0,0.0,2
2.0,0.7285962104797363,0.1059500053524971,0.7860197424888611,0.5401886701583862,0.0,0.0,2
2.0,0.8635367751121521,0.6288203597068787,0.9305323958396912,0.8076298236846924,0.0,0.0,2
2.0,0.7203196287155151,0.12132915109395981,0.8102669715881348,0.5506386160850525,0.0,0.0,2
2.0,0.837456226348877,0.7828648090362549,0.6662617325782776,0.7621942758560181,0.0,0.0,3
2.0,0.8413727879524231,0.2339165061712265,0.9314544200897217,0.6689145565032959,0.0,0.0,3
2.0,0.8309333324432373,0.18830984830856323,0.9727546572685242,0.6639993190765381,0.0,0.0,3
2.0,0.8324461579322815,0.7870234251022339,0.7450631260871887,0.7881776094436646,0.0,0.0,3
2.0,0.773712158203125,0.48779141902923584,0.7774366736412048,0.6796468496322632,0.0,0.0,3
2.0,0.7646896243095398,0.5125524401664734,0.7520449757575989,0.676429033279419,0.0,0.0,3
2.0,0.7923220992088318,1.0935994386672974,0.6257124543190002,0.8372113108634949,0.0,0.0,3
2.0,0.8006637096405029,0.9931130409240723,0.648130476474762,0.813969075679779,0.0,0.0,3
2.0,0.8597481846809387,0.6282649636268616,0.6603272557258606,0.7161135077476501,0.0,0.0,3
2.0,0.8021032214164734,0.262479692697525,0.7498162984848022,0.604799747467041,0.0,0.0,3
2.0,0.7466097474098206,0.12519966065883636,0.6291876435279846,0.5003323554992676,0.0,0.0,3
2.0,0.9062668085098267,0.37763047218322754,0.66523277759552,0.6497100591659546,0.0,0.0,3
2.0,0.7194432020187378,0.11039384454488754,0.6100780963897705,0.4799717366695404,0.0,0.0,4
2.0,0.80088210105896,1.1784206628799438,0.5991784334182739,0.8594937324523926,0.0,0.0,4
2.0,0.7887088656425476,0.3371322751045227,0.5952332615852356,0.5736914873123169,0.0,0.0,4
2.0,0.8135066032409668,0.20954464375972748,0.6182334423065186,0.5470949411392212,0.0,0.0,4
2.0,0.8684983849525452,0.5410066246986389,0.5447852611541748,0.651430070400238,0.0,0.0,4
2.0,0.8166090250015259,0.8666938543319702,0.5736018419265747,0.7523015737533569,0.0,0.0,4
2.0,0.8538274765014648,0.7234211564064026,0.4971916973590851,0.6914801001548767,0.0,0.0,4
2.0,0.7119477391242981,0.8587504029273987,0.7803941369056702,0.7836974859237671,0.0,0.0,4
2.0,0.7632039785385132,0.5041448473930359,0.49423667788505554,0.5871951580047607,0.0,0.0,4
2.0,0.8477079272270203,0.7217199802398682,0.5559998750686646,0.7084759473800659,0.0,0.0,4
2.0,0.9177915453910828,0.2683762013912201,0.5539355278015137,0.5800344944000244,0.0,0.0,4
2.0,0.8331205248832703,0.14771048724651337,0.5182840824127197,0.499705046415329,0.0,0.0,4
2.0,0.7545897364616394,1.2988994121551514,0.4501712918281555,0.8345534801483154,0.0,0.0,5
2.0,0.7823319435119629,1.1526674032211304,0.4740232825279236,0.8030076026916504,0.0,0.0,5
2.0,0.8279038667678833,0.2531042993068695,0.45625266432762146,0.5124202966690063,0.0,0.0,5
2.0,0.7779836654663086,1.0594109296798706,0.4597300589084625,0.7657082080841064,0.0,0.0,5
2.0,0.8326162695884705,0.14478637278079987,0.45797866582870483,0.478460431098938,0.0,0.0,5
2.0,0.718194305896759,0.05650497227907181,0.5131831765174866,0.4292941689491272,0.0,0.0,5
2.0,0.7560800313949585,0.1044754609465599,0.49610844254493713,0.4522213339805603,0.0,0.0,5
2.0,0.7817417979240417,0.340545654296875,0.4184166491031647,0.5135680437088013,0.0,0.0,5
2.0,0.7175430059432983,1.5974675416946411,0.5038238763809204,0.9396114349365234,0.0,0.0,5
2.0,0.788783073425293,1.0271217823028564,0.5031022429466248,0.7730023860931396,0.0,0.0,5
2.0,0.752753734588623,0.4452432692050934,0.4301191568374634,0.5427054166793823,0.0,0.0,5
2.0,0.8238709568977356,0.11822318285703659,0.5920923352241516,0.5113955140113831,0.0,0.0,5
2.0,0.7972280383110046,0.7202186584472656,0.36280885338783264,0.6267518997192383,0.0,0.0,6
2.0,0.7973175048828125,0.5376237034797668,0.42213720083236694,0.585692822933197,0.0,0.0,6
2.0,0.8750917315483093,0.4815768897533417,0.5212358832359314,0.6259682178497314,0.0,0.0,6
2.0,0.7294501662254333,1.4502016305923462,0.5420988202095032,0.9072502851486206,0.0,0.0,6
2.0,0.8630775213241577,0.5201355218887329,0.4316306412220001,0.6049479246139526,0.0,0.0,6
2.0,0.838807225227356,0.29098159074783325,0.500280499458313,0.5433564186096191,0.0,0.0,6
2.0,0.7621177434921265,0.44564247131347656,0.3902251422405243,0.5326617956161499,0.0,0.0,6
2.0,0.7926169037818909,1.115134835243225,0.4131912887096405,0.773647665977478,0.0,0.0,6
2.0,0.8160467743873596,0.35416075587272644,0.38936010003089905,0.5198559165000916,0.0,0.0,6
2.0,0.7154850959777832,0.7940391898155212,0.42240163683891296,0.6439753770828247,0.0,0.0,6
2.0,0.8905493021011353,0.3594566881656647,0.41949257254600525,0.5564995408058167,0.0,0.0,6
2.0,0.7141395807266235,0.04416275396943092,0.40647536516189575,0.38825926184654236,0.0,0.0,6
2.0,0.7862047553062439,0.27842476963996887,0.43371763825416565,0.49944907426834106,0.0,0.0,7
2.0,0.7573279738426208,0.062348343431949615,0.4511451721191406,0.42360720038414,0.0,0.0,7
2.0,0.7591149806976318,0.41628599166870117,0.40347108244895935,0.5262907147407532,0.0,0.0,7
2.0,0.8302344679832458,0.7425199747085571,0.39773595333099365,0.6568301320075989,0.0,0.0,7
2.0,0.8796036839485168,0.3521524667739868,0.40401288866996765,0.5452563762664795,0.0,0.0,7
2.0,0.7868043780326843,0.9739518761634827,0.42135941982269287,0.727371871471405,0.0,0.0,7
2.0,0.702836275100708,0.04531347006559372,0.4362165927886963,0.39478880167007446,0.0,0.0,7
2.0,0.8320665955543518,0.5672752261161804,0.39411473274230957,0.5978188514709473,0.0,0.0,7
2.0,0.7649305462837219,0.3461581766605377,0.4149365723133087,0.5086750984191895,0.0,0.0,7
2.0,0.7808209657669067,0.22195807099342346,0.4210803806781769,0.4746198058128357,0.0,0.0,7
2.0,0.7002377510070801,0.049433473497629166,0.4044662117958069,0.38471245765686035,0.0,0.0,7
2.0,0.7073922753334045,0.8177605867385864,0.39932796359062195,0.6414936184883118,0.0,0.0,7
2.0,0.7364538311958313,0.055938493460416794,0.507491946220398,0.43329477310180664,0.0,0.0,8
2.0,0.7360919117927551,1.2190582752227783,0.3816773295402527,0.7789425253868103,0.0,0.0,8
2.0,0.7683440446853638,0.31086912751197815,0.4581336975097656,0.5124489665031433,0.0,0.0,8
2.0,0.778885006904602,0.27270370721817017,0.43991386890411377,0.49716752767562866,0.0,0.0,8
2.0,0.8050342798233032,0.11738788336515427,0.4792105555534363,0.46721088886260986,0.0,0.0,8
2.0,0.8130629062652588,0.6228863000869751,0.3553994596004486,0.597116231918335,0.0,0.0,8
2.0,0.7063949704170227,0.035302042961120605,0.47641271352767944,0.4060365855693817,0.0,0.0,8
2.0,0.7571137547492981,0.054911524057388306,0.4815162420272827,0.43118053674697876,0.0,0.0,8
2.0,0.8960960507392883,0.1973637193441391,0.47752058506011963,0.5236601829528809,0.0,0.0,8
2.0,0.7195633053779602,0.6424685716629028,0.4461888074874878,0.6027402877807617,0.0,0.0,8
2.0,0.6962710618972778,0.9580060839653015,0.4668366312980652,0.7070379257202148,0.0,0.0,8
2.0,0.7613099813461304,0.26916560530662537,0.44982221722602844,0.4934326112270355,0.0,0.0,8
